City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hilo,US,73.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
2,Spolaita,GR,72.99,clear sky,38.6966,21.3464,ΕΞΟΧΙΚΟ ΚΑΠΕΛΗ
3,Camana,PE,66.36,few clouds,-16.6228,-72.7111,Hostal Morales
6,Carnarvon,AU,66.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
13,Airai,TL,59.32,overcast clouds,-8.9266,125.4092,Juvinal Martin
17,Bredasdorp,ZA,61.29,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Bethel,US,69.35,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
20,Ponta Do Sol,PT,73.0,broken clouds,32.6667,-17.1,Hotel do Campo
29,Gejiu,CN,55.49,clear sky,23.306,103.1635,Hongtai Commercial Hotel
32,Vila Velha,BR,75.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
34,Honiara,SB,76.64,scattered clouds,-9.4333,159.95,Heritage Park Hotel
41,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Pemberton,CA,69.21,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
47,Port Alfred,ZA,63.14,overcast clouds,-33.5906,26.891,The Halyards Hotel
48,Avarua,CK,64.45,broken clouds,-21.2078,-159.775,Paradise Inn
49,Marawi,PH,69.66,overcast clouds,7.9986,124.2928,Derogongan Residence
50,Rikitea,PF,73.24,light rain,-23.1203,-134.9692,People ThankYou
51,Beyneu,KZ,69.58,clear sky,45.3167,55.2,NUR
53,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
55,Afsin,TR,55.31,scattered clouds,38.2477,36.914,Afsin Ogretmenevi ASO
58,Port Elizabeth,ZA,63.1,clear sky,-33.918,25.5701,39 On Nile Guest House
59,Serenje,ZM,75.25,scattered clouds,-13.2325,30.2352,The Kabaso's
60,Hastings,GB,74.53,broken clouds,50.8552,0.5729,Zanzibar Hotel
64,Hermanus,ZA,63.81,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
65,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Torquay,GB,70.41,scattered clouds,50.4638,-3.5143,The Grand Hotel
