City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.66,34,40,20.71,scattered clouds
1,Kumo,NG,10.0447,11.2122,74.89,83,100,4.81,moderate rain
2,Camacha,PT,33.0833,-16.3333,69.22,60,20,11.5,few clouds
3,Cape Town,ZA,-33.9258,18.4232,61.88,84,40,1.01,scattered clouds
4,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,93,90,0.0,light snow
5,Tadine,NC,-21.55,167.8833,66.04,64,56,15.43,broken clouds
6,Colac,AU,-38.3333,143.5833,50.83,87,28,13.06,scattered clouds
7,Saskylakh,RU,71.9167,114.0833,33.75,98,100,12.01,overcast clouds
8,Zaragoza,ES,41.6561,-0.8773,70.25,61,40,3.0,scattered clouds
9,Hermanus,ZA,-34.4187,19.2345,59.9,84,100,14.09,overcast clouds
10,Rio Grande,BR,-32.035,-52.0986,66.31,86,100,11.18,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,74.28,73,98,21.9,overcast clouds
12,Alofi,NU,-19.0595,-169.9187,75.09,73,29,9.22,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,50.11,46,40,20.71,scattered clouds
14,Maceio,BR,-9.6658,-35.7353,83.64,78,75,12.66,broken clouds
15,Norman Wells,CA,65.282,-126.8329,35.64,87,75,2.3,broken clouds
16,Qaanaaq,GL,77.484,-69.3632,16.95,64,91,5.86,overcast clouds
17,Lasa,IT,46.6166,10.7002,57.11,66,6,4.34,clear sky
18,Cooma,AU,-36.2333,149.1333,51.57,62,45,8.05,scattered clouds
19,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,20.71,clear sky
20,Bredasdorp,ZA,-34.5322,20.0403,58.32,77,100,11.5,overcast clouds
21,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,12.66,light rain
22,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,57,79,13.18,broken clouds
23,Babu,CN,24.4167,111.5167,76.24,91,22,2.24,few clouds
24,Georgetown,MY,5.4112,100.3354,80.89,86,20,0.0,few clouds
25,Jacmel,HT,18.2342,-72.5347,87.64,74,100,6.08,overcast clouds
26,Mataura,NZ,-46.1927,168.8643,46.47,76,34,7.25,scattered clouds
27,Mayo,US,38.8876,-76.5119,78.08,83,90,3.0,overcast clouds
28,Kapaa,US,22.0752,-159.319,80.58,77,75,1.99,broken clouds
29,Barrow,US,71.2906,-156.7887,26.62,86,90,4.61,overcast clouds
30,Vaini,TO,-21.2,-175.2,73.56,94,75,6.91,broken clouds
31,Provideniya,RU,64.3833,-173.3,32.11,64,90,6.71,overcast clouds
32,Kavieng,PG,-2.5744,150.7967,81.41,75,100,10.09,overcast clouds
33,Teruel,ES,40.6667,-0.6667,60.76,84,9,5.03,clear sky
34,Port Elizabeth,ZA,-33.918,25.5701,64.09,66,100,17.81,overcast clouds
35,Butaritari,KI,3.0707,172.7902,82.26,75,1,15.52,clear sky
36,Cidreira,BR,-30.1811,-50.2056,64.36,73,100,21.21,overcast clouds
37,Khatanga,RU,71.9667,102.5,33.53,98,100,6.69,overcast clouds
38,Bengkulu,ID,-3.8004,102.2655,75.11,91,100,4.23,overcast clouds
39,Cherskiy,RU,68.75,161.3,28.27,97,85,6.08,overcast clouds
40,Dikson,RU,73.5069,80.5464,34.25,65,22,5.57,few clouds
41,Socorro,US,31.6546,-106.3033,86.5,28,75,5.75,broken clouds
42,Tasiilaq,GL,65.6145,-37.6368,37.56,60,81,2.95,broken clouds
43,Muros,ES,42.7762,-9.0603,70.23,69,6,15.5,clear sky
44,Porosozero,RU,62.7191,32.727,42.94,88,100,8.1,light rain
45,Busselton,AU,-33.65,115.3333,44.1,80,0,10.54,clear sky
46,Selenginsk,RU,52.0064,106.8647,36.01,77,100,7.29,overcast clouds
47,Abeche,TD,13.8292,20.8324,86.81,36,3,7.99,clear sky
48,Bay Roberts,CA,47.5999,-53.2648,72.25,75,9,3.0,clear sky
49,Hami,CN,42.8,93.45,67.68,19,66,4.61,broken clouds
50,Kasongo,CD,-4.45,26.6667,68.38,87,86,3.38,light rain
51,Port Alfred,ZA,-33.5906,26.891,64.78,71,92,17.6,overcast clouds
